"Block Title","Block Title"
"General Settings","General Settings"
"MageWorx &gt; Others Also Bought","MageWorx &gt; Others Also Bought"
Main,Main
"Order Status","Order Status"
"Others Also Bought","Others Also Bought"
Popularity,Popularity
"Products Number","Products Number"
Random,Random
"Sort Order","Sort Order"
