sku,image,small_image,thumbnail,_media_is_disabled,_media_attibute_id
A51640,/a/5/a51640_99.jpg,/a/5/a51640_99.jpg,/a/5/a51640_99.jpg,0,88
A51641,/a/5/a51641_99.jpg,/a/5/a51641_99.jpg,/a/5/a51641_99.jpg,0,88
A51642,/a/5/a51642_99.jpg,/a/5/a51642_99.jpg,/a/5/a51642_99.jpg,0,88
A51643,/a/5/a51643_99.jpg,/a/5/a51643_99.jpg,/a/5/a51643_99.jpg,0,88
A51644,/a/5/a51644_99.jpg,/a/5/a51644_99.jpg,/a/5/a51644_99.jpg,0,88
A51645,/a/5/a51645_99.jpg,/a/5/a51645_99.jpg,/a/5/a51645_99.jpg,0,88
A51646,/a/5/a51646_99.jpg,/a/5/a51646_99.jpg,/a/5/a51646_99.jpg,0,88
A51647,/a/5/a51647_99.jpg,/a/5/a51647_99.jpg,/a/5/a51647_99.jpg,0,88
A51648,/a/5/a51648_99.jpg,/a/5/a51648_99.jpg,/a/5/a51648_99.jpg,0,88
A51649,/a/5/a51649_99.jpg,/a/5/a51649_99.jpg,/a/5/a51649_99.jpg,0,88
A51650,/a/5/a51650_99.jpg,/a/5/a51650_99.jpg,/a/5/a51650_99.jpg,0,88
A51651,/a/5/a51651_63.jpg,/a/5/a51651_63.jpg,/a/5/a51651_63.jpg,0,88
A51652,/a/5/a51652_63.jpg,/a/5/a51652_63.jpg,/a/5/a51652_63.jpg,0,88
A51653,/a/5/a51653_63.jpg,/a/5/a51653_63.jpg,/a/5/a51653_63.jpg,0,88
A51654,/a/5/a51654_63.jpg,/a/5/a51654_63.jpg,/a/5/a51654_63.jpg,0,88
A51655,/a/5/a51655_63.jpg,/a/5/a51655_63.jpg,/a/5/a51655_63.jpg,0,88
A5030-5,/a/5/a5030-5_20.jpg,/a/5/a5030-5_20.jpg,/a/5/a5030-5_20.jpg,0,88
A503021-5,/a/5/a503021-5_20.jpg,/a/5/a503021-5_20.jpg,/a/5/a503021-5_20.jpg,0,88
A503022-5,/a/5/a503022-5_20.jpg,/a/5/a503022-5_20.jpg,/a/5/a503022-5_20.jpg,0,88
A503023-5,/a/5/a503023-5_20.jpg,/a/5/a503023-5_20.jpg,/a/5/a503023-5_20.jpg,0,88
A503024-5,/a/5/a503024-5_20.jpg,/a/5/a503024-5_20.jpg,/a/5/a503024-5_20.jpg,0,88
A503025-5,/a/5/a503025-5_20.jpg,/a/5/a503025-5_20.jpg,/a/5/a503025-5_20.jpg,0,88
A503026-5,/a/5/a503026-5_20.jpg,/a/5/a503026-5_20.jpg,/a/5/a503026-5_20.jpg,0,88
A5031-5,/a/5/a5031-5_20.jpg,/a/5/a5031-5_20.jpg,/a/5/a5031-5_20.jpg,0,88
A50310-5,/a/5/a50310-5_20.jpg,/a/5/a50310-5_20.jpg,/a/5/a50310-5_20.jpg,0,88
